ingredient_code,ingredient_description,Alcohol,Caffeine,Calcium,Carbohydrate,"Carotene, alpha","Carotene, beta",Cholesterol,"Choline, total",Copper,"Cryptoxanthin, beta",Energy,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total saturated","Fiber, total dietary","Folate, DFE","Folate, food","Folate, total",Folic acid,Iron,Lutein + zeaxanthin,Lycopene,Magnesium,Niacin,Phosphorus,Potassium,Protein,Retinol,Riboflavin,Selenium,Sodium,"Sugars, total",Theobromine,Thiamin,Total Fat,"Vitamin A, RAE",Vitamin B-12,"Vitamin B-12, added",Vitamin B-6,Vitamin C,Vitamin D (D2 + D3),Vitamin E (alpha-tocopherol),"Vitamin E, added",Vitamin K (phylloquinone),Water,Zinc,10:0,12:0,14:0,16:0,16:1,18:0,18:1,18:2,18:3,18:4,20:1,20:4,20:5 n-3,22:1,22:5 n-3,22:6 n-3,4:0,6:0,8:0,ingredient_description_first,ingredient_description_second,ingredient_description_third
6169,"Sauce, ready-to-serve, pepper, TABASCO",0.0,0,12,0.8,62,919,0,0.0,0.075,68,12,0.061,0.401,0.106,0.6,2,0,1,1,1.16,10,0,12,0.178,23,128,1.29,0,0.084,0.5,633,0.13,0,0.032,0.76,82,0.0,0.0,0.154,4.5,0.0,0.01,0.0,0.2,95.17,0.16,0.0,0.0,0.002,0.09,0.002,0.014,0.058,0.398,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sauce, ready-to-serve," pepper, TABASCO"
6170,"Soup, stock, beef, home-prepared",0.0,0,8,1.2,0,0,0,4.8,0.05,0,13,0.043,0.005,0.035,0.0,2,2,2,0,0.27,1,0,7,0.872,31,185,1.97,0,0.091,1.2,198,0.54,0,0.033,0.09,0,0.0,0.0,0.055,0.0,0.0,0.01,0.0,0.1,95.89,0.17,0.0,0.0,0.001,0.02,0.003,0.013,0.039,0.004,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Soup, stock," beef, home-prepared"
6172,"Soup, stock, chicken, home-prepared",0.0,0,3,3.53,0,0,3,9.2,0.054,0,36,0.582,0.213,0.321,0.0,5,5,5,0,0.21,1,0,4,1.584,27,105,2.52,1,0.085,2.2,143,1.58,0,0.035,1.2,1,0.0,0.0,0.061,0.2,0.0,0.03,0.0,0.2,92.15,0.14,0.0,0.0,0.008,0.252,0.089,0.056,0.484,0.204,0.009,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Soup, stock," chicken, home-prepared"
6174,"Soup, stock, fish, home-prepared",0.0,0,3,0.0,0,0,1,7.0,0.058,0,16,0.236,0.138,0.203,0.0,2,2,2,0,0.01,0,0,7,1.186,56,144,2.26,2,0.076,1.0,156,0.0,0,0.033,0.81,2,0.69,0.0,0.037,0.1,0.0,0.17,0.0,0.0,96.6,0.06,0.0,0.0,0.015,0.138,0.073,0.035,0.148,0.009,0.006,0.003,0.006,0.011,0.035,0.0,0.017,0.049,0.0,0.0,0.0,Soup, stock," fish, home-prepared"
6175,"Sauce, hoisin, ready-to-serve",0.0,0,32,44.08,0,4,3,8.0,0.128,0,220,0.963,1.698,0.568,2.8,23,23,23,0,1.01,45,0,24,1.17,38,119,3.31,0,0.217,1.8,1615,27.26,0,0.004,3.39,0,0.0,0.0,0.062,0.4,0.0,0.28,0.0,0.5,44.23,0.32,0.0,0.0,0.0,0.368,0.0,0.17,0.963,1.524,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sauce, hoisin, ready-to-serve
6176,"Sauce, oyster, ready-to-serve",0.0,0,32,10.92,0,0,0,3.5,0.147,0,51,0.073,0.066,0.043,0.3,15,15,15,0,0.18,0,0,4,1.474,22,54,1.35,0,0.124,4.4,2733,0.0,0,0.01,0.25,0,0.41,0.0,0.016,0.1,0.0,0.0,0.0,0.0,80.0,0.09,0.0,0.001,0.001,0.029,0.005,0.01,0.067,0.062,0.002,0.0,0.001,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,Sauce, oyster, ready-to-serve
6177,"Soup, minestrone, canned, reduced sodium, ready-to-serve",0.0,0,20,9.0,99,349,0,6.6,0.083,0,50,0.28,0.25,0.14,2.4,17,14,16,1,0.72,90,6359,13,0.64,34,186,2.0,0,0.04,2.1,215,2.13,0,0.06,0.8,33,0.0,0.0,0.06,5.7,0.0,0.7,0.0,5.8,87.3,0.32,0.004,0.005,0.009,0.086,0.004,0.025,0.23,0.216,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.003,0.001,Soup, minestrone," canned, reduced sodium, ready-to-serve"
6179,"Sauce, fish, ready-to-serve",0.0,0,43,3.64,0,0,0,13.2,0.05,0,35,0.002,0.003,0.003,0.0,51,51,51,0,0.78,0,0,175,2.313,7,288,5.06,4,0.057,9.1,7851,3.64,0,0.012,0.01,4,0.48,0.0,0.396,0.5,0.0,0.0,0.0,0.0,71.07,0.2,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.002,0.0,0.0,0.0,Sauce, fish, ready-to-serve
6182,"Soup, cream of mushroom, canned, condensed, reduced sodium",0.0,0,13,8.1,0,0,3,9.7,0.22,0,52,0.44,0.56,0.53,0.6,11,8,10,2,0.48,0,0,5,0.17,51,374,1.21,2,0.192,1.8,383,2.13,0,0.042,1.69,2,0.02,0.0,0.04,0.0,0.0,0.16,0.0,0.4,87.26,0.36,0.014,0.017,0.056,0.288,0.014,0.103,0.421,0.53,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.01,0.006,Soup, cream of mushroom," canned, condensed, reduced sodium"
6183,"Soup, chicken broth, less/reduced sodium, ready to serve",0.0,0,8,0.38,0,0,0,3.1,0.035,0,7,0.0,0.0,0.0,0.0,3,3,3,0,0.26,0,0,1,0.686,18,85,1.36,0,0.014,0.0,231,0.22,0,0.002,0.0,0,0.06,0.0,0.006,0.4,0.0,0.01,0.0,0.0,97.32,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Soup, chicken broth," less/reduced sodium, ready to serve"
6189,"Sauce, teriyaki, ready-to-serve, reduced sodium",0.0,0,25,15.58,0,0,0,19.5,0.1,0,89,0.0,0.0,0.0,0.1,8,8,8,0,1.7,0,0,61,1.27,154,225,5.93,0,0.07,0.8,1778,14.1,0,0.03,0.02,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,69.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sauce, teriyaki," ready-to-serve, reduced sodium"
6190,"Soup, bean & ham, canned, reduced sodium, prepared with water or ready-to-serve",0.0,0,38,13.66,145,349,2,18.0,0.082,0,81,0.415,0.269,0.252,4.0,29,29,29,0,1.02,36,915,19,0.324,13,158,4.19,0,0.029,4.3,187,3.17,0,0.056,1.03,35,0.03,0.0,0.046,1.1,0.0,0.39,0.0,5.1,79.91,0.53,0.001,0.001,0.007,0.166,0.015,0.078,0.4,0.229,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Soup, bean & ham," canned, reduced sodium, prepared with water or ready-to-serve"
6194,"Soup, chicken broth, ready-to-serve",0.0,0,4,0.44,0,1,2,1.0,0.015,0,6,0.019,0.009,0.013,0.0,0,0,0,0,0.07,0,0,1,0.219,4,18,0.64,0,0.059,0.4,371,0.43,0,0.021,0.21,0,0.02,0.0,0.0,0.0,0.0,0.04,0.0,0.0,97.81,0.07,0.0,0.0,0.0,0.009,0.002,0.003,0.016,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Soup, chicken broth, ready-to-serve
6230,"Soup, clam chowder, new england, canned, prepared with equal volume low fat (2%) milk",0.0,0,70,7.46,0,2,7,11.8,0.118,0,61,0.268,0.513,1.094,0.3,9,9,9,0,1.21,1,0,12,0.794,173,179,3.24,37,0.176,4.4,273,2.81,0,0.081,2.02,37,4.84,0.0,0.07,2.1,0.6,0.22,0.0,0.5,85.49,0.43,0.026,0.03,0.097,0.671,0.017,0.196,0.249,0.476,0.018,0.001,0.001,0.003,0.005,0.0,0.004,0.005,0.04,0.021,0.011,Soup, clam chowder," new england, canned, prepared with equal volume low fat (2%) milk"
6256,"Soup, cream of shrimp, canned, prepared with equal volume low fat (2%) milk",0.0,0,69,5.64,0,2,10,11.8,0.051,0,61,1.147,0.155,1.93,0.1,4,4,4,0,0.22,0,0,9,0.211,60,95,2.78,43,0.107,3.5,354,2.62,0,0.028,3.23,43,0.5,0.0,0.034,0.1,0.6,0.02,0.0,0.1,87.11,0.54,0.075,0.088,0.299,0.829,0.062,0.374,0.76,0.085,0.036,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.104,0.06,0.035,Soup, cream of shrimp," canned, prepared with equal volume low fat (2%) milk"
6402,"Soup, black bean, canned, prepared with equal volume water",0.0,0,19,7.71,40,110,0,7.8,0.155,6,46,0.24,0.205,0.17,3.4,33,33,33,0,0.75,18,232,17,0.205,38,125,2.42,0,0.02,0.0,487,1.24,0,0.021,0.66,11,0.0,0.0,0.035,0.1,0.0,0.18,0.0,0.9,87.62,0.55,0.005,0.0,0.01,0.105,0.01,0.04,0.225,0.155,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Soup, black bean," canned, prepared with equal volume water"
6413,"Soup, chicken broth, canned, prepared with equal volume water",0.0,0,4,0.38,0,0,0,4.7,0.051,0,16,0.24,0.11,0.16,0.0,2,2,2,0,0.21,0,0,1,1.372,30,86,2.02,0,0.029,0.0,306,0.29,0,0.004,0.57,0,0.1,0.0,0.01,0.0,0.0,0.02,0.0,0.0,95.95,0.1,0.0,0.0,0.01,0.12,0.03,0.03,0.2,0.1,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Soup, chicken broth," canned, prepared with equal volume water"
6417,"Soup, chicken gumbo, canned, prepared with equal volume water",0.0,0,10,3.43,0,32,2,3.6,0.051,2,23,0.27,0.14,0.13,0.8,2,2,2,0,0.37,28,990,2,0.272,10,31,1.08,0,0.02,3.3,391,1.02,0,0.01,0.59,3,0.01,0.0,0.026,2.0,0.0,0.15,0.0,2.6,93.84,0.15,0.0,0.0,0.0,0.1,0.03,0.03,0.24,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Soup, chicken gumbo," canned, prepared with equal volume water"
6430,"Soup, clam chowder, new england, canned, prepared with equal volume water",0.0,0,9,5.05,0,0,3,3.4,0.122,0,35,0.0,0.469,0.468,0.3,7,7,7,0,1.22,2,0,7,0.759,127,108,1.55,8,0.081,3.1,254,0.19,0,0.061,1.01,8,4.63,0.0,0.051,2.0,0.0,0.2,0.0,0.4,90.89,0.18,0.001,0.002,0.005,0.377,0.0,0.068,0.0,0.439,0.011,0.001,0.0,0.003,0.005,0.0,0.004,0.005,0.0,0.0,0.0,Soup, clam chowder," new england, canned, prepared with equal volume water"
6449,"Soup, pea, green, canned, prepared with equal volume water",0.0,0,12,9.88,0,1,0,13.2,0.146,0,61,0.372,0.142,0.524,1.9,1,1,1,0,0.73,0,0,15,0.462,47,71,3.2,3,0.025,3.6,336,3.19,0,0.04,1.09,3,0.0,0.0,0.02,0.6,0.0,0.09,0.0,0.2,84.55,0.64,0.02,0.02,0.073,0.235,0.015,0.117,0.348,0.127,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.015,0.01,Soup, pea," green, canned, prepared with equal volume water"
6461,"Soup, tomato beef with noodle, canned, prepared with equal volume water",0.0,0,9,8.44,30,114,2,8.2,0.055,2,56,0.69,0.27,0.635,0.6,11,3,8,5,0.45,21,2929,3,0.745,23,88,1.78,1,0.036,2.0,367,0.73,0,0.034,1.71,12,0.08,0.0,0.035,0.0,0.0,0.31,0.0,0.0,86.99,0.3,0.0,0.0,0.035,0.35,0.05,0.215,0.605,0.23,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Soup, tomato beef with noodle," canned, prepared with equal volume water"
6468,"Soup, vegetarian vegetable, canned, prepared with equal volume water",0.0,0,10,4.89,205,750,0,3.9,0.055,0,28,0.34,0.295,0.12,0.3,4,4,4,0,0.44,80,965,3,0.374,14,86,0.86,0,0.019,1.8,338,1.57,0,0.022,0.79,71,0.0,0.0,0.023,0.6,0.0,0.58,0.0,2.1,92.41,0.19,0.0,0.0,0.0,0.08,0.005,0.04,0.335,0.275,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Soup, vegetarian vegetable," canned, prepared with equal volume water"
