Food code,Main food description,Additional food description
25221855,"Turkey or chicken sausage, reduced sodium","fresh, smoked, heat and serve, brown and serve, pre-cooked, or NFS; bulk, crumbled, link, patty, or stick; breakfast sausage; less or lower sodium"
25221860,"Turkey or chicken sausage, reduced fat","fresh, smoked, heat and serve, brown and serve, pre-cooked, or NFS; bulk, crumbled, link, patty, or stick; breakfast sausage; lowfat or low fat; light or lite"
25221870,Turkey or chicken and pork sausage,"Jimmy Dean Light Turkey and Pork, 77% Fat Free, Sausage; fresh, smoked, heat and serve, brown and serve, pre-cooked, or NFS; bulk, crumbled, link, patty, or stick; breakfast sausage"
25221875,"Turkey or chicken, pork, and beef sausage, reduced sodium","fresh, smoked, heat and serve, brown and serve, pre-cooked, or NFS; bulk, crumbled, link, patty, or stick; breakfast sausage; less or lower sodium"
25221910,"Vienna sausage, canned","beef, pork, and chicken"
25221950,Pickled sausage,Penrose hot or firecracker sausage
25230110,"Luncheon meat, NFS","cold cut, NFS"
25230210,"Ham, prepackaged or deli, luncheon meat","boiled ham; all fat levels - regular, reduced fat, low fat or fat free; lean or extra lean; ham lunch meat, NFS"
25230220,"Ham, prepackaged or deli, luncheon meat, reduced sodium","low salt boiled ham; lightly salted; unsalted; no salt added; all fat levels - regular, reduced fat, low fat, or fat free; lean or extra lean"
25230320,"Chicken, prepackaged or deli, luncheon meat","breast, loaf, chicken lunch meat, NFS; all fat levels - regular, reduced fat, low fat, or fat free; lean or extra lean"
25230340,"Chicken, prepackaged or deli, luncheon meat, reduced sodium","lightly salted; unsalted; no salt added; all fat levels - regular, reduced fat, low fat, or fat free; lean or extra lean"
25230420,"Ham luncheon meat, loaf type","ham loaf; ham and cheese loaf; ham sausage; hamettes; chopped, minced, pressed, spiced ham, not canned"
25230530,Spam,Treet
25230550,"Spam, reduced sodium",Treet; reduced fat
25230560,Liverwurst,liver cheese; Braunschweiger; liver sausage; liver loaf; liver  pudding; liver bacon; goose bacon; goose liver sausage; liver mush
25230610,"Luncheon meat, loaf type","olive, pickle, or pimiento loaf; old fashioned loaf, Dutch loaf, pepperloaf, praski, honey loaf, veal loaf"
25230780,"Turkey, prepackaged or deli, luncheon meat","breast, loaf, turkey lunch meat, NFS; all fat levels - regular, reduced fat, low fat, or fat free; lean or extra lean"
25230785,"Turkey, prepackaged or deli, luncheon meat, reduced sodium","lightly salted; unsalted; no salt added; all fat levels - regular, reduced fat, low fat, or fat free; lean or extra lean"
25230800,"Turkey ham, prepackaged or deli, luncheon meat","all fat levels - regular, reduced fat, low fat, or fat free; lean or extra lean"
25231110,"Beef, prepackaged or deli, luncheon meat",deli roast beef
25231120,"Beef, prepackaged or deli, luncheon meat, reduced sodium",deli roast beef; lightly salted; unsalted; no salt added
25240000,"Meat spread or potted meat, NFS","beef, pork, ham, any type of meat"
25240110,Chicken salad spread,
25240220,Ham salad spread,
26100100,"Fish, raw",any type other than salmon or tuna
26100110,"Fish, NFS",
26100120,"Fish, NS as to type, baked or broiled",sauteed; grilled; NS as to coated
26100130,"Fish, NS as to type, baked or broiled, coated",
26100140,"Fish, NS as to type, fried",
26100160,"Fish, NS as to type, steamed",poached
26100180,"Fish, canned",any type other than salmon or tuna
26100190,"Fish, smoked",any type other than salmon; dried
26100270,"Fish, stick",nugget
26101110,"Fish, anchovy",
26105110,"Fish, carp",
26107110,"Fish, catfish, NFS",
26107120,"Fish, catfish, baked or broiled",sauteed; NS as to coated
26107123,"Fish, catfish, grilled",
26107130,"Fish, catfish, baked or broiled, coated",
26107140,"Fish, catfish, fried",
26107160,"Fish, catfish, steamed",poached
26109110,"Fish, cod, NFS",
26109120,"Fish, cod, baked or broiled",sauteed: NS as to coated
26109123,"Fish, cod, grilled",
26109130,"Fish, cod, baked or broiled, coated",
26109140,"Fish, cod, fried",
26109160,"Fish, cod, steamed",poached
26111110,"Fish, croaker",kingfish
26113110,"Fish, eel",
26115110,"Fish, flounder, NFS",sole; flatfish
26115120,"Fish, flounder, baked or broiled",sauteed; sole; flatfish; NS as to coated
26115123,"Fish, flounder, grilled",sole; flatfish
26115130,"Fish, flounder, baked or broiled, coated",sole; flatfish
26115140,"Fish, flounder, fried",sole; flatfish
26115160,"Fish, flounder, steamed",sole; flatfish; poached
26117110,"Fish, haddock, NFS",pollock; scrod
26117120,"Fish, haddock, baked or broiled",sauteed; pollock; scrod; NS as to coated
26117121,"Fish, haddock, grilled",pollock; scrod
26117130,"Fish, haddock, baked or broiled, coated",pollock; scrod
26117140,"Fish, haddock, fried",pollock; scrod
26117160,"Fish, haddock, steamed",pollock; scrod; poached
26118010,"Fish, halibut",
26119110,"Fish, herring",milkfish
26119180,"Fish, pickled",any type
26121110,"Fish, mackerel, NFS",wahoo; jack
26121120,"Fish, mackerel, baked or broiled",sauteed; wahoo; jack; NS as to coated
26121121,"Fish, mackerel, grilled",wahoo; jack
26121131,"Fish, mackerel, baked or broiled, coated",wahoo; jack
26121140,"Fish, mackerel, fried",wahoo; jack
26121180,"Fish, mackerel, canned",
26123110,"Fish, mullet",
26127110,"Fish, perch, NFS",crappie; walleye; orange roughy; redfish; rockfish
26127120,"Fish, perch, baked or broiled",sauteed; crappie; walleye; orange roughy; redfish; rockfish; NS as to coated
26127123,"Fish, perch, grilled",crappie; walleye; orange roughy; redfish; rockfish
26127130,"Fish, perch, baked or broiled, coated",crappie; walleye; orange roughy; redfish; rockfish
26127140,"Fish, perch, fried",crappie; walleye; orange roughy; redfish; rockfish
26127160,"Fish, perch, steamed",orange roughy; redfish; rockfish; crappie; walleye; poached
26129110,"Fish, pike",
26131110,"Fish, pompano, NFS",butterfish; mahimahi
26131120,"Fish, pompano, baked or broiled",sauteed; butterfish; mahimahi; NS as to coated
26131121,"Fish, pompano, grilled",butterfish; mahimahi
26131130,"Fish, pompano, baked or broiled, coated",butterfish; mahimahi
26131140,"Fish, pompano, fried",butterfish; mahimahi
26131160,"Fish, pompano, steamed",butterfish; mahimahi; poached
26133110,"Fish, snapper",porgy
26137100,"Fish, salmon, raw",sashimi
26137110,"Fish, salmon, NFS",
26137120,"Fish, salmon, baked or broiled",sauteed; NS as to coated
26137123,"Fish, salmon, grilled",
26137130,"Fish, salmon, baked or broiled, coated",
26137140,"Fish, salmon, fried",
26137160,"Fish, salmon, steamed",poached
26137180,"Fish, salmon, canned",
26137190,"Fish, salmon, smoked",lox
26139180,"Fish, sardines, canned",
26141110,"Fish, bass, NFS",grouper
26141120,"Fish, bass, baked or broiled",sauteed; grouper; NS as to coated
26141121,"Fish, bass, grilled",grouper
26141130,"Fish, bass, baked or broiled, coated",grouper
26141140,"Fish, bass, fried",grouper
26141160,"Fish, bass, steamed",grouper; poached
26143110,"Fish, shark",
26149110,"Fish, swordfish",marlin
26151110,"Fish, trout, NFS",
26151120,"Fish, trout, baked or broiled",sauteed; NS as to coated
26151123,"Fish, trout, grilled",
26151130,"Fish, trout, baked or broiled, coated",
26151140,"Fish, trout, fried",
26151160,"Fish, trout, steamed",poached
26153100,"Fish, tuna, raw",ahi
26153110,"Fish, tuna, NFS",ahi
26153120,"Fish, tuna, cooked",ahi
26155110,"Fish, tuna, canned",
26157110,"Fish, whiting, NFS",
26157120,"Fish, whiting, baked or broiled",sauteed; NS as to coated
26157123,"Fish, whiting, grilled",
26157130,"Fish, whiting, baked or broiled, coated",
26157140,"Fish, whiting, fried",
26157160,"Fish, whiting, steamed",poached
26158000,"Fish, tilapia, NFS",
26158010,"Fish, tilapia, baked or broiled",sauteed; NS as to coated
26158013,"Fish, tilapia, grilled",
26158020,"Fish, tilapia, baked or broiled, coated",
26158030,"Fish, tilapia, fried",
26158050,"Fish, tilapia, steamed",poached
26158100,"Fish, white, mixed species, NFS",
26158110,"Fish, white, mixed species, baked or broiled",sauteed; NS as to coated
26158120,"Fish, white, mixed species, baked or broiled, coated",
26158130,"Fish, white, mixed species, fried",
26158140,"Fish, white, mixed species, steamed",poached
26158150,"Fish, white, mixed species, grilled",
26203110,Frog legs,
26205110,Octopus,
26211100,Caviar,roe
26213120,"Calamari, cooked",cuttlefish; squid; cooking method other than fried
26213140,"Calamari, fried","cuttlefish; squid; calamari, NFS"
26215120,Turtle,
26300000,"Shellfish, NFS",
26301110,Abalone,
26303100,"Clams, raw",
26303110,"Clams, NFS",
26303120,"Clams, baked or broiled",sauteed; with or without coating
26303140,"Clams, fried",clam strips
26303160,"Clams, steamed or boiled",
26303180,"Clams, canned",
26305160,Crab,
26305180,"Crab, canned",
26307140,"Crab, soft shell",
26309140,"Crayfish, fried",crawfish
26309160,"Crayfish, cooked","crawfish; cooking method other than fried; crayfish, NFS"
26311110,Lobster,
26313110,Mussels,
26315100,"Oysters, raw",
26315120,"Oysters, baked or broiled",sauteed; with or without coating
26315130,"Oysters, steamed",
26315140,"Oysters, fried",
26315180,"Oysters, canned",
26317120,"Scallops, baked or broiled",sauteed; with or without coating
26317121,"Scallops, grilled",
26317130,"Scallops, steamed or boiled",
26317140,"Scallops, fried",
26319110,"Shrimp, NFS",prawn
26319120,"Shrimp, baked or broiled",sauteed; prawn; NS as to coated
26319123,"Shrimp, grilled",prawn
26319130,"Shrimp, steamed or boiled",prawn
26319140,"Shrimp, fried",prawn; popcorn shrimp
26319160,"Shrimp, baked or broiled, coated",prawn
26319170,"Shrimp, dried",
26319180,"Shrimp, canned",
26321110,Escargot,snails
27100100,"Barbecue meat, NFS",bbq; with or without sauce
27111000,Beef with tomato-based sauce,beef with tomatoes
27111100,Beef goulash,
27111200,Beef burgundy,beef bourguignonne
27111300,"Beef stew, no potatoes, tomato-based sauce, Mexican style",Carne guisada sin papas
27111400,"Chili con carne, NS as to beans",
27111405,"Chili con carne with beans, from restaurant",fast food; other place
27111406,"Chili con carne with beans, home recipe",
27111407,"Chili con carne with beans, canned","microwavable tub; frozen; chili beef soup, regular or chunky style"
27111410,Chili con carne with beans,"kidney beans and hamburger with tomato sauce; chili, NFS"
27111420,Chili con carne without beans,"coney island sauce; chili served on hot dogs, hamburgers or french fries"
27111430,"Chili con carne, NS as to beans, with cheese",
27111440,Chili con carne with beans and cheese,
27111500,"Sloppy joe, no bun",Manwich
27112000,Beef with gravy,country style
27112010,Salisbury steak with gravy,Banquet Salisbury Steak with Gravy
27113000,Beef with cream or white sauce,
27113100,Beef stroganoff,
27113200,Creamed chipped or dried beef,
27113300,Swedish meatballs with cream or white sauce,
27114000,Beef with mushroom sauce,
27115000,Beef with soy-based sauce,
27115100,Steak teriyaki,soy-based sauce
27116100,Beef curry,lamb; mutton; goat; pork
27116110,Beef curry with rice,lamb; mutton; goat; pork
27116200,"Barbecue beef, with sauce",bbq; shredded or pulled; NS as to sauce
27116210,"Barbecue beef, no sauce",bbq; shredded or pulled
27116300,Beef with sweet and sour sauce,
27116350,"Stewed seasoned ground beef, Mexican style",Picadillo de carne de res
27116400,Steak tartare,
27118110,"Meatballs, Puerto Rican style",Albondigas guisadas
27118120,"Stewed seasoned ground beef, Puerto Rican style",Carne molida guisada; Picadillo guisado; Picadillo de carne; Picadillo para relleno
27118130,"Stewed dried beef, Puerto Rican style",Ropa vieja; Tasajo guisado; Carne cecina guisada
27118140,"Stuffed pot roast, Puerto Rican style, NFS",Carne mechada; Lechon de mechar; with gravy and stuffing
27118180,"Beef stew, meat with gravy, no potatoes, Puerto Rican style",Carne guisada
27120020,Ham or pork with gravy,
27120030,"Barbecue pork, with sauce",Char siu pork; bbq; shredded or pulled; NS as to sauce
27120040,"Barbecue pork, no sauce",bbq; shredded or pulled
27120060,Sweet and sour pork,
27120080,Ham stroganoff,ham with cream or white sauce
27120090,Ham or pork with mushroom sauce,
27120100,Ham or pork with tomato-based sauce,pork chop
27120110,Sausage with tomato-based sauce,
27120120,Sausage gravy,
27120130,"Pork stew, no potatoes, tomato-based sauce, Mexican style",Cerdo guisado sin papas
27120150,Pork or ham with soy-based sauce,
27120210,"Chili hot dog, no bun",
27120250,Frankfurters or hot dogs with tomato-based sauce,frankfurters or hot dogs with barbecue sauce or chili sauce
27121000,Pork with chili and tomatoes,Puerco con chile
27121010,"Stewed pork, Puerto Rican style",Cerdo guisado; Guisado de cerdo
27121410,"Chili con carne with beans, made with pork",
27130010,Lamb or mutton with gravy,
27133010,"Stewed goat, Puerto Rican style",Puerto Rican stewed kid; Fricase de cabro; Cabrito en fricase; Chilindron de chivo
27135010,Veal with gravy,
27135020,Veal scallopini,veal in wine sauce with cheese
27135030,Veal with cream sauce,veal paprikash
27135040,Veal with butter sauce,veal picatta
27135050,Veal Marsala,veal in wine sauce
27135110,Veal parmigiana,breaded veal in tomato sauce with cheese
27135150,Veal cordon bleu,"breaded veal, ham, and cheese"
27136050,Venison or deer with tomato-based sauce,
27136080,Venison or deer with gravy,
27136100,Chili con carne with venison/deer and beans,
27141000,Chicken or turkey cacciatore,chicken or turkey with tomato-based sauce; chicken or turkey with tomatoes
27141030,Spaghetti sauce with poultry,"tomato-based, marinara, or red sauce"
27141035,Spaghetti sauce with poultry and added vegetables,"tomato-based, marinara, or red sauce; vegetables other than tomatoes and onions"
27141050,"Stewed chicken with tomato-based sauce, Mexican style",Pollo guisado con tomate
27141500,Chili con carne with chicken or turkey and beans,
27142000,Chicken with gravy,
27142100,Chicken or turkey fricassee,stewed chicken
27142200,Turkey with gravy,
27143000,Chicken or turkey with cream sauce,
27144000,Chicken or turkey with mushroom sauce,chicken or turkey marsala
27145000,Chicken or turkey with teriyaki,soy-based sauce
27146011,Barbecue chicken,bbq; shredded or pulled; with or with sauce; turkey
27146100,Sweet and sour chicken or turkey,"with vegetables; sweet and sour chicken or turkey, NFS"
27146110,"Sweet and sour chicken or turkey, without vegetables",
27146150,Chicken curry,other poultry
27146155,Chicken curry with rice,other poultry
27146160,Chicken with mole sauce,chicken mole
27146200,Chicken or turkey with cheese sauce,
27146250,Chicken or turkey cordon bleu,
27146300,Chicken or turkey parmigiana,
27146350,Orange chicken,Lemon chicken
27146360,Sesame chicken,
27146400,Chicken kiev,
27148010,"Stuffed chicken, drumstick or breast, Puerto Rican style",Muslo de pollo o pechuga rellena
27150010,"Fish with cream or white sauce, not tuna or lobster",
27150050,Fish timbale or mousse,
27150110,Shrimp cocktail,shrimp with cocktail sauce
27150120,Tuna with cream or white sauce,
27150130,Seafood thermidor,newburg
27150140,Seafood sauce,lobster; white clam
27150151,Spaghetti sauce with seafood,"tomato-based, marinara, or red sauce; red clam sauce"
27150155,Spaghetti sauce with seafood and added vegetables,"tomato-based, marinara, or red sauce; red clam sauce; any vegetables other than tomatoes and onions"
27150160,Shrimp with lobster sauce,
27150170,Sweet and sour shrimp,
27150210,Fish sauce,Bagoong; shrimp sauce
27150230,Shrimp scampi,shrimp in butter sauce
27150310,Fish with tomato-based sauce,fish with tomatoes
27150320,Fish curry,shrimp; other seafood
27150325,Fish curry with rice,shrimp; other seafood
27150410,Shrimp teriyaki,soy-based sauce
27151030,Ceviche,Marinated fish or sea food
27151040,"Crabs in tomato-based sauce, Puerto Rican style",Salmorejo de jueyes
27151050,"Shrimp in garlic sauce, Puerto Rican style",Camarones al ajillo
27151070,Bacalao guisado,stewed codfish
27160100,"Meatballs, NS as to type of meat, with sauce",
27161010,"Meat loaf, Puerto Rican style",Rollo de carne; Albondigon
27162010,Meat with tomato-based sauce,NS as to type of meat
27162040,Spaghetti sauce with meat,"tomato-based, marinara, or red sauce"
27162060,Spaghetti sauce with meat and added vegetables,"tomato-based, marinara, or red sauce; vegetables other than tomatoes and onions"
27162500,"Stewed, seasoned, ground beef and pork, Mexican style",Picadillo de carne de res y puerco
27163010,"Meat with gravy, NS as to type of meat,",
27211000,"Beef and potatoes, no sauce",
27211110,"Beef stew with potatoes, tomato-based sauce, Mexican style",Carne guisada con papas
27211190,"Beef and potatoes with cream sauce, white sauce or mushroom sauce",Hamburger Helper Potato Stroganoff
27211300,"Beef, roast, hash",
27211400,Corned beef hash,
27211500,Beef and potatoes with cheese sauce,
27211550,"Stewed, seasoned, ground beef with potatoes, Mexican style",Picadillo de carne de res con papas
27212000,"Beef and noodles, no sauce",Hamburger Helper Beef Noodle
27212050,Beef and macaroni with cheese sauce,Hamburger Helper Cheddar'n Bacon; Hamburger Helper Nacho Cheese
27212100,Beef and noodles with tomato-based sauce,"beef casserole, NFS; Hamburger Helper, NFS; Hamburger Helper Chili Tomato; Hamburger Helper Lasagna; Hamburger Helper Zesty Italian"
27212120,Chili con carne with beans and macaroni,
27212150,Beef goulash with noodles,
27212200,Beef and noodles with gravy,
27212300,Beef and noodles with cream or white sauce,
27212350,Beef stroganoff with noodles,Hamburger Helper Beef Stroganoff
27212400,Beef and noodles with mushroom sauce,
27212500,Beef and noodles with soy-based sauce,
27213000,"Beef and rice, no sauce",
27213010,Biryani with meat,"beef, pork, goat, lamb and/or mutton; Indian rice with meat"
27213100,Beef and rice with tomato-based sauce,
27213120,Porcupine balls with tomato-based sauce,beef and rice balls
27213200,Beef and rice with gravy,
27213300,Beef and rice with cream sauce,
27213400,Beef and rice with mushroom sauce,
27213420,Porcupine balls with mushroom sauce,beef and rice balls
27213500,Beef and rice with soy-based sauce,Asian Helper Beef Fried Rice
27213600,Beef and rice with cheese sauce,Hamburger Helper Cheesy Enchilada
27214100,Meat loaf made with beef,"beef meat loaf or meatball, with breading or NS as to breading, no sauce; meat patty"
27214110,"Meat loaf made with beef, with tomato-based sauce","meatball; meat patty, with beef, breading, tomato-based sauce"
27214300,Beef wellington,
27214500,Corned beef patty,
27218110,"Stuffed pot roast, with potatoes, Puerto Rican style",larded meat; Carne mechada con papas boliche
27218210,"Beef stew with potatoes, Puerto Rican style",Carne guisada con papas
27218310,"Stewed corned beef, Puerto Rican style",carne bif guisada; Corned beef guisado
27220010,Meat loaf made with ham,"pork meatball, with breading, no sauce, not a luncheon meat"
27220020,Ham and noodles with cream or white sauce,
27220030,Ham and rice with mushroom sauce,
27220050,Ham or pork with stuffing,stuffed pork chops
27220080,Ham croquette,
27220110,Pork and rice with tomato-based sauce,
27220120,Sausage and rice with tomato-based sauce,
27220150,Sausage and rice with mushroom sauce,
27220170,Sausage and rice with cheese sauce,
27220190,Sausage and noodles with cream or white sauce,
27220210,"Ham and noodles, no sauce",
27220310,"Ham or pork and rice, no sauce",
27220510,Ham or pork and potatoes with gravy,
27220520,Ham or pork and potatoes with cheese sauce,
27221100,"Stewed pig's feet, Puerto Rican style",Patitas de cerdo guisadas
27221110,"Stuffed pork roast, Puerto Rican style","Carne de cerdo asada, rellena; Lechon asado relleno"
27221150,"Pork stew, with potatoes, tomato-based sauce, Mexican style",Cerdo guisado con papas
27230010,Lamb or mutton loaf,
27231000,Lamb or mutton and potatoes with gravy,
27232000,Lamb or mutton and potatoes with tomato-based sauce,
27233000,Lamb or mutton and noodles with gravy,
27235000,Meat loaf made with venison/deer,"venison meatball, with breading, no sauce"
27235750,Veal and noodles with cream or white sauce,
27236000,Venison or deer and noodles with cream or white sauce,
27241000,Chicken or turkey hash,
27241010,Chicken or turkey and potatoes with gravy,"Chicken Helper, Potatoes, and Gravy"
27242000,"Chicken or turkey and noodles, no sauce",
27242200,Chicken or turkey and noodles with gravy,
27242250,Chicken or turkey and noodles with mushroom sauce,
27242300,Chicken or turkey and noodles with cream or white sauce,"chicken or turkey casserole, NFS"
27242310,Chicken or turkey and noodles with cheese sauce,
27242350,Chicken or turkey tetrazzini,
27242400,Chicken or turkey and noodles with tomato-based sauce,
27242500,Chicken or turkey and noodles with soy-based sauce,
27243000,"Chicken or turkey and rice, no sauce",
27243100,Biryani with chicken,Indian rice with chicken
27243300,Chicken or turkey and rice with cream sauce,Chicken Helper Mushroom Chicken with Long Grain and Wild Rice
27243400,Chicken or turkey and rice with mushroom sauce,
27243500,Chicken or turkey and rice with tomato-based sauce,
27243600,Chicken or turkey and rice with soy-based sauce,Chicken Helper Chicken Teriyaki
27246100,Chicken or turkey with dumplings,Chicken Helper Chicken and Dumplings
27246200,Chicken or turkey with stuffing,Chicken Helper Chicken and Stuffing
27246300,"Chicken or turkey cake, patty, or croquette",
27246400,Chicken or turkey souffle,
27246500,Meat loaf made with chicken or turkey,"with breading or NS as to breading, no sauce; chicken or turkey meatball, with breading or NS as to breading, no sauce"
27246505,"Meat loaf made with chicken or turkey, with tomato-based sauce","with breading or NS as to breading; chicken or turkey meatball, with breading or NS as to breading, tomato sauce"
27250040,"Crab, cake","crab imperial, deviled crab"
27250050,"Fish, cake or patty",any type other than salmon; ball; croquette; loaf
27250060,Gefilte fish,
27250070,"Fish, salmon cake or patty","salmon croquette, ball, or loaf"
27250110,Scallops and noodles with cheese sauce,
27250120,"Shrimp and noodles, no sauce",
27250122,Shrimp and noodles with gravy,
27250124,Shrimp and noodles with mushroom sauce,
27250126,Shrimp and noodles with cream or white sauce,
27250128,Shrimp and noodles with soy-based sauce,
27250130,Shrimp and noodles with cheese sauce,
27250132,Shrimp and noodles with tomato sauce,
27250150,Tuna loaf,
27250160,Tuna cake or patty,
27250210,Clam cake or patty,deviled
27250250,Flounder with crab stuffing,
27250260,"Lobster with bread stuffing, baked",
27250270,Clams Casino,stuffed clams
27250400,"Shrimp, cake or patty",
27250410,Shrimp with crab stuffing,
27250450,Shrimp toast,
27250520,Imitation crab meat,imitation sea food; sea stix
27250550,Seafood souffle,
27250610,Tuna noodle casserole with cream or white sauce,"tuna noodle casserole, NS as to sauce"
27250630,Tuna noodle casserole with mushroom sauce,
27250710,Tuna and rice with mushroom sauce,
27250810,Fish and rice with tomato-based sauce,
27250820,Fish and rice with cream sauce,
27250830,Fish and rice with mushroom sauce,
27250900,Fish and noodles with mushroom sauce,
27250950,Shellfish and noodles with tomato-based sauce,
27251010,"Stewed salmon, Puerto Rican style",Salmon guisado
27260010,"Meat loaf, NS as to type of meat","meatball, NS as to type of meat, with breading, no sauce"
27260050,"Meatballs, with breading, NS as to type of meat, with gravy","sweet and sour meatballs; Danish frikadeller; meatballs, NS as to type of meat, NS as to with or without breading"
27260080,Meat loaf made with beef and pork,"meatball or meat patty, made with beef and pork, with breading, no sauce"
27260090,"Meat loaf made with beef, veal and pork","meatball or meat patty, made with beef, veal, and pork, with breading, no sauce"
27260100,"Meat loaf made with beef and pork, with tomato-based sauce","meatball / meat patty, with beef and pork, breading, tomato-based sauce"
27260110,"Hash, NS as to type of meat",
27260500,"Vienna sausages stewed with potatoes, Puerto Rican style",Salchichas guisadas
27261500,"Stewed, seasoned, ground beef and pork with potatoes, Mexican style",Picadillo de carne de res y puerco con papas
27311110,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",
27311120,"Beef, potatoes, and vegetables, excluding carrots, broccoli, and dark-green leafy; no sauce",
27311210,"Corned beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",
27311220,"Corned beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",
27311310,"Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce","meatball stew, NFS; beef stew, NFS; canned or ready to serve; Dinty Moore Beef Stew"
27311320,"Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",
27311410,"Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",
27311420,"Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",
27311510,Shepherd's pie,
27311600,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",
27311605,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",
27311610,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",
27311620,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce",
27311625,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",
27311630,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",
27311635,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",
27311640,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",
27311645,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",
27311650,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",
27313010,"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",
27313020,"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",
27313110,Beef chow mein or chop suey with noodles,
27313150,"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",
27313160,"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",
27313210,"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",
27313220,"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",
27313310,"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; mushroom sauce",
27313320,"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; mushroom sauce",
27313410,"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",
27313420,"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",
27315010,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",
27315020,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",
27315210,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",
27315220,"Beef, rice, and vegetables excluding carrots, broccoli, and/or dark-green leafy; tomato-based sauce",
27315250,Stuffed cabbage rolls with beef and rice,
27315270,Stuffed grape leaves with beef and rice,
27315310,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; mushroom sauce",
27315320,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; mushroom sauce",
27315330,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",
27315340,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",
27315410,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",
27315420,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",
27315510,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",
27315520,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",
27317010,"Pot pie, beef",
27317100,"Beef, dumplings, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",
27317110,"Beef, dumplings, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",
27319010,"Stuffed green pepper, Puerto Rican style",Pimiento relleno
27320025,"Ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",
27320027,"Ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",
27320030,"Ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",
27320040,"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",
27320070,"Ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",
27320080,"Sausage, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",
27320090,"Sausage, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",
27320100,"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",
27320110,"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",
27320120,"Sausage, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",
