Food code,Main food description,Additional food description
11512010,"Hot chocolate / Cocoa, ready to drink","whole, 2%, or reduced fat milk; NS as to milk; evaporated milk; chocolate espanol; chocolate caliente; McDonald's; Starbucks; Dunkin Donuts; made from syrup, tablet, or bar"
11512020,"Hot chocolate / Cocoa, ready to drink, made with nonfat milk","low fat, fat free, skim, or 1% milk; chocolate espanol; chocolate caliente; Starbucks; made from syrup, tablet, or bar"
11512030,"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk","almond, coconut, rice, or soy milk; chocolate espanol; chocolate caliente; Starbucks; made from syrup, tablet, or bar"
11512100,"Hot chocolate / Cocoa, ready to drink, with whipped cream","whole, 2%, or reduced fat milk; NS as to milk; evaporated milk; McDonald's; Starbucks; Dunkin Donuts; made from syrup, tablet, or bar"
11513100,"Chocolate milk, made from dry mix with whole milk",
11513150,"Chocolate milk, made from dry mix with reduced fat milk",2% fat
11513300,"Chocolate milk, made from dry mix with fat free milk",nonfat milk; skim milk
11513310,"Chocolate milk, made from dry mix with non-dairy milk","almond, coconut, rice, or soy milk"
11513380,"Chocolate milk, made from dry mix, NS as to type of milk (Nesquik)","regular, reduced, or less sugar; 25% less sugar"
11513381,"Chocolate milk, made from dry mix with whole milk (Nesquik)","regular, reduced, or less sugar; 25% less sugar"
11513382,"Chocolate milk, made from dry mix with reduced fat milk (Nesquik)","regular, reduced, or less sugar; 25% less sugar; 2% fat"
11513383,"Chocolate milk, made from dry mix with low fat milk (Nesquik)","regular, reduced, or less sugar; 25% less sugar; 1% fat"
11513384,"Chocolate milk, made from dry mix with fat free milk (Nesquik)","nonfat milk; regular, reduced, or less sugar; 25% less sugar; skim"
11513385,"Chocolate milk, made from dry mix with non-dairy milk (Nesquik)","almond, coconut, rice, or soy milk"
11513392,"Chocolate milk, made from no sugar added dry mix with reduced fat milk (Nesquik)",sugar free mix; 2% fat
11513395,"Chocolate milk, made from no sugar added dry mix with non-dairy milk (Nesquik)","almond, coconut, rice, or soy milk"
11513400,"Chocolate milk, made from syrup, NS as to type of milk",Nesquik; Hershey's
11513500,"Chocolate milk, made from syrup with whole milk",Nesquik; Hershey's
11513550,"Chocolate milk, made from syrup with reduced fat milk",Nesquik; Hershey's; 2% fat
11513600,"Chocolate milk, made from syrup with low fat milk",Nesquik; Hershey's; 1% fat
11513700,"Chocolate milk, made from syrup with fat free milk",nonfat milk; Nesquik; Hershey's; skim
11513750,"Chocolate milk, made from syrup with non-dairy milk","almond, coconut, rice, or soy milk"
11513801,"Chocolate milk, made from light syrup with whole milk",Hershey's Lite
11513802,"Chocolate milk, made from light syrup with reduced fat milk",Hershey's Lite; 2% fat
11513803,"Chocolate milk, made from light syrup with low fat milk",Hershey's Lite; 1% fat
11513804,"Chocolate milk, made from light syrup with fat free milk",nonfat milk; Hershey's Lite; skim fat
11513851,"Chocolate milk, made from sugar free syrup with whole milk",Hershey's
11514100,"Hot chocolate / Cocoa, made with dry mix and water","cocoa mix, NFS; Swiss Miss; Hershey's; Nestle's; Carnation; mint flavored"
11514110,"Hot chocolate / Cocoa, made with dry mix and whole milk","cocoa mix, NFS; Swiss Miss; Hershey's; Nestle's; Carnation"
11514120,"Hot chocolate / Cocoa, made with dry mix and reduced fat milk","cocoa mix, NFS; Swiss Miss; Hershey's; Nestle's; Carnation; NS as to type of milk; 2% fat"
11514130,"Hot chocolate / Cocoa, made with dry mix and low fat milk","cocoa mix, NFS; Swiss Miss; Hershey's; Nestle's; Carnation; 1% fat"
11514140,"Hot chocolate / Cocoa, made with dry mix and fat free milk","nonfat milk; cocoa mix, NFS; Swiss Miss; Hershey's; Nestle's; Carnation; skim"
11514150,"Hot chocolate / Cocoa, made with dry mix and non-dairy milk","almond, coconut, rice, and soy milk; cocoa mix, NFS; Swiss Miss; Hershey's; Nestle's; Carnation"
11514310,"Hot chocolate / Cocoa, made with no sugar added dry mix and water","fat free, light, diet or sugar free mix; Swiss Miss; Hershey's; Nestle's; Carnation"
11514320,"Hot chocolate / Cocoa, made with no sugar added dry mix and whole milk","fat free, light, diet or sugar free; Swiss Miss; Hershey's; Nestle's; Carnation"
11514330,"Hot chocolate / Cocoa, made with no sugar added dry mix and reduced fat milk","fat free, light, diet or sugar free mix; Swiss Miss; Hershey's; Nestle's; Carnation; NS as to type of milk; 2% fat"
11514340,"Hot chocolate / Cocoa, made with no sugar added dry mix and low fat milk","fat free, light, diet or sugar free mix; Swiss Miss; Nestle's; Carnation; H ershey's; 1% fat"
11514350,"Hot chocolate / Cocoa, made with no sugar added dry mix and fat free milk","nonfat milk; fat free, light, diet or sugar free mix; Swiss Miss; Hershey's; Nestle's; Carnation; skim"
11514360,"Hot chocolate / Cocoa, made with no sugar added dry mix and non-dairy milk","almond, coconut, rice, and soy milk; fat free, light, diet or sugar free mix; Swiss Miss; Hershey's; Nestle's; Carnation"
11519040,"Strawberry milk, NFS",NS as to milk or drink; vanilla; flavors other than chocolate
11519050,"Strawberry milk, whole",flavors other than chocolate; vanilla
11519105,"Strawberry milk, reduced fat",vanilla; flavors other than chocolate; 2% fat
11519200,"Strawberry milk, low fat",vanilla; flavors other than chocolate; 1% fat
11519205,"Strawberry milk, fat free",nonfat milk; vanilla; flavors other than chocolate; skim
11519210,"Strawberry milk, reduced sugar",vanilla; flavors other than chocolate
11519215,"Strawberry milk, non-dairy","almond, coconut, rice, or soy milk"
11526000,"Milk, malted",Ovaltine; NS as to flavor; all flavors
11531000,Eggnog,"eggnog, NFS; made with whole milk"
11541110,"Milk shake, home recipe, chocolate",regular ice cream and/or whole or 2% reduced fat milk; restaurant or ice cream shop; frozen mix
11541120,"Milk shake, home recipe, flavors other than chocolate",regular ice cream and/or whole or 2% reduced fat milk; restaurant or ice cream shop; frozen mix; NS as to flavor
11541130,"Milk shake, home recipe, chocolate, light","reduced fat ice cream and/or 1% low fat, skim, nonfat, or fat free milk; restaurant or ice cream shop"
11541135,"Milk shake, home recipe, flavors other than chocolate, light","reduced fat ice cream and/or 1% low fat, skim, nonfat, fat free milk; restaurant or ice cream shop; NS as to flavor"
11541400,Milk shake with malt,malted milk with ice cream
11542100,"Milk shake, fast food, chocolate",Burger King; Dairy Queen; McDonald's; Wendy's Frosty Shakes; Jack in the Box; Arby's; Dunkin Donuts; Sonic; from other place
11542200,"Milk shake, fast food, flavors other than chocolate",Burger King; Dairy Queen; McDonald's; Wendy's Frosty Shakes; Jack in the Box; Arby's; Dunkin Donuts; Sonic; from other place; NS as to flavor or type
11543000,"Milk shake, bottled, chocolate",canned; reconstituted dry mix; Hershey's; Chug
11543010,"Milk shake, bottled, flavors other than chocolate",canned; reconstituted dry mix; Hershey's; Chug
11551050,Licuado or Batido,milk fruit drink
11553100,"Fruit smoothie, NFS",
11553110,"Fruit smoothie, with whole fruit and dairy","with milk, yogurt, ice cream, or sherbet; home recipe; restaurant; smoothie shop; juice bar; Jamba Juice; Smoothie King"
11553120,"Fruit smoothie, with whole fruit and dairy, added protein","with milk, yogurt, ice cream, or sherbet; home recipe; restaurant; smoothie shop; juice bar; Jamba Juice; Smoothie King"
11553130,"Fruit smoothie juice drink, with dairy","milk, yogurt, ice cream, or sherbet; fast food smoothie, NFS; Dairy Queen; Jack-in-the-Box; frozen mix; Orange Julius; Julius, all flavors; from other place; McDonald's Smoothies, NFS"
11560000,Chocolate milk drink,Yoo-hoo; other flavors
11710000,"Infant formula, NFS",
11710030,"Infant formula, Similac, NFS",NS as to variety
11710051,"Infant formula, Similac Alimentum, ready-to-feed",
11710056,"Infant formula, Similac Alimentum, powder, made with water",
11710351,"Infant formula, Similac Advance, ready-to-feed","Similac varieties Pro-Advance, Neuro Support, Supplementation, Lamehadrin"
