ingredient_code,ingredient_description,Alcohol,Caffeine,Calcium,Carbohydrate,"Carotene, alpha","Carotene, beta",Cholesterol,"Choline, total",Copper,"Cryptoxanthin, beta",Energy,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total saturated","Fiber, total dietary","Folate, DFE","Folate, food","Folate, total",Folic acid,Iron,Lutein + zeaxanthin,Lycopene,Magnesium,Niacin,Phosphorus,Potassium,Protein,Retinol,Riboflavin,Selenium,Sodium,"Sugars, total",Theobromine,Thiamin,Total Fat,"Vitamin A, RAE",Vitamin B-12,"Vitamin B-12, added",Vitamin B-6,Vitamin C,Vitamin D (D2 + D3),Vitamin E (alpha-tocopherol),"Vitamin E, added",Vitamin K (phylloquinone),Water,Zinc,10:0,12:0,14:0,16:0,16:1,18:0,18:1,18:2,18:3,18:4,20:1,20:4,20:5 n-3,22:1,22:5 n-3,22:6 n-3,4:0,6:0,8:0
5091,"Chicken, broilers or fryers, thigh, meat and skin, raw",0.0,0,7,0.25,0,0,98,45.7,0.054,0,221,6.94,3.467,4.524,0.0,3,3,3,0,0.68,108,0,18,4.625,157,204,16.52,23,0.145,18.9,81,0.0,0,0.073,16.61,23,0.62,0.0,0.347,0.0,0.1,0.21,0.0,2.1,66.47,1.29,0.003,0.008,0.092,3.511,0.98,0.85,5.832,3.096,0.162,0.003,0.078,0.104,0.004,0.002,0.01,0.007,0.001,0.0,0.001
5094,"Chicken, broilers or fryers, thigh, meat and skin, cooked, roasted",0.0,0,9,0.0,0,0,133,67.6,0.063,0,232,6.257,2.993,4.111,0.0,4,4,4,0,1.08,17,0,22,5.789,216,253,23.26,16,0.19,25.3,102,0.0,0,0.088,14.71,16,0.44,0.0,0.414,0.0,0.2,0.19,0.0,3.3,61.96,1.73,0.002,0.008,0.083,3.181,0.912,0.784,5.223,2.669,0.13,0.003,0.074,0.097,0.006,0.002,0.01,0.005,0.001,0.001,0.002
5098,"Chicken, broilers or fryers, thigh, meat only, cooked, roasted",0.0,0,9,0.0,0,0,133,71.8,0.067,0,179,3.361,1.695,2.311,0.0,5,5,5,0,1.13,0,0,24,6.208,230,269,24.76,8,0.218,27.1,106,0.0,0,0.096,8.15,8,0.42,0.0,0.462,0.0,0.2,0.18,0.0,3.9,67.0,1.92,0.001,0.004,0.044,1.75,0.485,0.477,2.815,1.46,0.073,0.001,0.034,0.087,0.005,0.001,0.008,0.005,0.001,0.001,0.001
5103,"Chicken, broilers or fryers, wing, meat and skin, cooked, roasted",0.0,0,18,0.0,0,0,141,111.3,0.041,0,254,7.706,3.59,4.976,0.0,9,9,9,0,0.84,0,0,19,6.32,147,212,23.79,12,0.153,25.5,98,0.0,0,0.065,16.87,12,0.35,0.0,0.558,0.0,0.2,0.69,0.0,0.3,59.4,1.64,0.007,0.008,0.098,3.883,1.115,0.927,6.436,3.216,0.165,0.004,0.101,0.098,0.004,0.002,0.012,0.006,0.0,0.0,0.0
5104,"Chicken, broilers or fryers, wing, meat and skin, cooked, stewed",0.0,0,12,0.0,0,0,70,51.3,0.046,0,249,6.6,3.58,4.71,0.0,3,3,3,0,1.13,0,0,16,4.621,121,139,22.78,40,0.103,18.5,67,0.0,0,0.04,16.82,40,0.18,0.0,0.22,0.0,0.1,0.27,0.0,0.2,62.18,1.63,0.0,0.02,0.14,3.5,0.89,0.94,5.44,3.08,0.13,0.0,0.19,0.13,0.02,0.0,0.03,0.05,0.0,0.0,0.0
5308,"Chicken, cornish game hens, meat and skin, cooked, roasted",0.0,0,13,0.0,0,0,131,56.5,0.061,0,259,8.0,3.6,5.05,0.0,2,2,2,0,0.91,0,0,18,5.897,146,245,22.27,32,0.199,15.5,64,0.0,0,0.067,18.21,32,0.28,0.0,0.307,0.5,0.1,0.36,0.0,2.4,58.68,1.49,0.0,0.03,0.15,3.85,1.25,1.01,6.64,3.2,0.16,0.0,0.07,0.19,0.02,0.0,0.01,0.02,0.0,0.0,0.0
5310,"Chicken, cornish game hens, meat only, cooked, roasted",0.0,0,13,0.0,0,0,106,66.3,0.059,0,134,1.24,0.94,0.99,0.0,2,2,2,0,0.77,0,0,19,6.273,149,250,23.3,20,0.227,20.8,63,0.0,0,0.075,3.87,20,0.3,0.0,0.358,0.6,0.1,0.24,0.0,2.4,71.9,1.53,0.0,0.01,0.03,0.69,0.21,0.26,1.01,0.69,0.03,0.0,0.01,0.17,0.01,0.0,0.02,0.02,0.0,0.0,0.0
5311,"Chicken, canned, no broth",0.0,0,14,0.9,0,0,50,73.8,0.05,0,185,3.279,1.978,2.25,0.0,2,2,2,0,1.3,0,0,19,2.4,153,153,25.3,53,0.1,18.4,482,0.0,0,0.0,8.1,53,1.0,0.0,0.19,0.0,0.1,0.32,0.0,2.3,64.9,2.5,0.0,0.011,0.063,1.713,0.465,0.465,2.73,1.597,0.074,0.0,0.084,0.074,0.011,0.0,0.011,0.211,0.0,0.0,0.0
5314,"Chicken, broilers or fryers, breast, skinless, boneless, meat only, with added solution, raw",0.0,0,5,0.0,0,0,64,74.2,0.029,0,108,0.673,0.384,0.545,0.0,8,8,8,0,0.34,0,0,25,7.583,198,332,20.32,11,0.127,26.4,173,0.0,0,0.068,3.0,11,0.19,0.0,0.761,0.0,0.0,0.19,0.0,0.0,75.59,0.63,0.016,0.004,0.011,0.383,0.085,0.122,0.575,0.291,0.011,0.0,0.01,0.044,0.002,0.0,0.006,0.004,0.0,0.0,0.0
5319,"Chicken, broiler, rotisserie, BBQ, drumstick, meat only",0.0,0,20,0.0,0,0,155,80.1,0.089,0,172,2.827,1.029,1.573,0.0,9,9,9,0,1.05,0,0,23,5.745,248,291,27.71,10,0.229,27.4,403,0.0,0,0.065,6.76,10,0.47,0.0,0.184,0.0,0.0,0.54,0.0,0.0,64.11,2.86,0.0,0.0,0.033,1.262,0.507,0.278,2.302,0.935,0.056,0.0,0.018,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5324,"Chicken patty, frozen, cooked",0.0,0,19,12.84,0,0,43,33.8,0.09,0,287,8.337,4.805,3.662,0.3,7,7,7,0,0.95,0,0,24,4.764,208,261,14.85,0,0.072,23.3,532,0.0,0,0.083,19.58,0,0.29,0.0,0.183,0.0,0.3,1.28,0.0,4.2,50.82,1.05,0.0,0.0,0.0,3.001,0.686,0.661,7.651,4.68,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5334,"Chicken, broiler, rotisserie, BBQ, thigh, meat only",0.0,0,13,0.0,0,0,128,68.0,0.084,0,193,4.727,1.621,2.777,0.0,8,8,8,0,0.97,0,0,21,5.441,216,262,24.09,13,0.234,23.1,335,0.0,0,0.055,10.74,13,0.45,0.0,0.176,0.0,0.0,0.48,0.0,0.0,64.35,2.0,0.0,0.001,0.056,2.219,0.783,0.483,3.902,1.49,0.089,0.0,0.029,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5335,"Chicken, feet, boiled",0.0,0,88,0.2,0,0,84,13.3,0.102,0,215,5.5,2.98,3.92,0.0,86,86,86,0,0.91,0,0,5,0.4,83,31,19.4,30,0.2,3.6,67,0.0,0,0.06,14.6,30,0.47,0.0,0.01,0.0,0.2,0.27,0.0,0.2,65.8,0.69,0.0,0.014,0.115,2.908,0.742,0.785,4.53,2.57,0.108,0.0,0.158,0.0,0.014,0.0,0.022,0.043,0.0,0.0,0.0
5358,"Chicken, broiler, rotisserie, BBQ, breast, meat and skin",0.0,0,16,0.09,0,0,90,57.1,0.041,0,175,3.131,0.945,1.958,0.0,8,8,11,0,0.51,0,0,25,9.303,244,276,26.37,11,0.139,22.3,329,0.09,0,0.078,7.67,11,0.3,0.0,0.307,0.0,0.0,0.33,0.0,0.0,65.19,0.86,0.0,0.0,0.04,1.571,0.504,0.344,2.599,0.878,0.048,0.0,0.019,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5359,"Chicken, broiler, rotisserie, BBQ, drumstick, meat and skin",0.0,0,22,0.12,0,0,149,73.3,0.082,0,206,4.75,1.523,2.855,0.0,9,9,9,0,1.02,0,0,23,5.966,245,279,25.65,17,0.224,25.7,392,0.12,0,0.063,11.46,17,0.49,0.0,0.196,0.0,0.0,0.51,0.0,0.0,61.42,2.52,0.0,0.0,0.058,2.289,0.8,0.504,3.909,1.399,0.077,0.0,0.029,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5361,"Chicken, broiler, rotisserie, BBQ, thigh, meat and skin",0.0,0,16,0.12,0,0,127,62.9,0.077,0,226,6.446,2.038,3.927,0.0,8,8,8,0,0.95,0,0,21,5.732,218,255,22.51,20,0.227,22.0,335,0.12,0,0.055,15.08,20,0.47,0.0,0.191,0.0,0.0,0.46,0.0,0.0,61.41,1.78,0.0,0.001,0.079,3.153,1.05,0.689,5.346,1.89,0.105,0.0,0.039,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5362,"Chicken, broiler, rotisserie, BBQ, wing, meat and skin",0.0,0,33,0.6,0,0,129,58.2,0.057,0,257,7.332,2.177,4.627,0.0,8,8,8,0,0.93,0,0,23,7.454,251,285,23.42,26,0.161,38.2,579,0.6,0,0.078,18.04,26,0.45,0.0,0.212,0.0,0.0,0.12,0.0,0.0,57.23,1.57,0.0,0.0,0.094,3.7,1.164,0.823,6.098,2.02,0.106,0.0,0.043,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5671,"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",0.0,0,12,0.0,0,0,127,72.0,0.063,0,149,2.35,1.24,1.6,0.0,5,5,5,0,0.94,0,0,22,5.05,184,239,23.9,7,0.18,27.9,117,0.0,0,0.088,5.95,7,0.41,0.0,0.372,0.0,0.1,0.17,0.0,0.2,69.9,2.54,0.0,0.003,0.03,1.2,0.374,0.346,1.96,1.07,0.055,0.0,0.023,0.088,0.004,0.0,0.008,0.005,0.001,0.001,0.002
5672,"Chicken, broilers or fryers, dark meat, thigh, meat only, cooked, braised",0.0,0,12,0.0,0,0,141,68.3,0.049,0,176,3.449,1.556,2.346,0.0,5,5,5,0,1.27,0,0,25,5.742,201,266,24.55,8,0.182,29.2,77,0.0,0,0.087,8.63,8,0.42,0.0,0.436,0.0,0.3,0.17,0.0,0.3,66.87,1.87,0.0,0.004,0.045,1.781,0.506,0.483,2.879,1.341,0.064,0.001,0.032,0.08,0.009,0.001,0.007,0.004,0.001,0.002,0.002
5676,"Chicken, broilers or fryers, dark meat, drumstick, meat and skin, cooked, braised",0.0,0,12,0.0,0,0,132,68.3,0.06,0,187,4.493,2.232,2.939,0.0,4,4,4,0,0.94,13,0,21,4.832,177,229,22.72,12,0.164,26.4,111,0.0,0,0.083,10.73,12,0.41,0.0,0.347,0.0,0.1,0.17,0.0,0.3,66.33,2.3,0.001,0.006,0.058,2.261,0.678,0.576,3.731,1.957,0.097,0.001,0.052,0.094,0.005,0.001,0.009,0.005,0.001,0.001,0.002
5677,"Chicken, broilers or fryers, dark meat, thigh, meat and skin, cooked, braised",0.0,0,11,0.0,0,0,139,63.3,0.048,0,229,6.488,2.963,4.253,0.0,4,4,4,0,1.21,20,0,23,5.276,187,245,22.57,16,0.157,26.6,76,0.0,0,0.08,15.43,16,0.43,0.0,0.385,0.0,0.3,0.17,0.0,0.3,61.93,1.64,0.001,0.007,0.085,3.298,0.947,0.81,5.414,2.651,0.127,0.002,0.075,0.091,0.008,0.002,0.009,0.005,0.001,0.002,0.003
5746,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",0.0,0,6,0.0,0,0,116,117.0,0.044,0,158,1.26,0.766,1.01,0.0,4,4,4,0,0.49,0,0,32,9.45,241,343,32.1,10,0.187,31.9,47,0.0,0,0.098,3.24,10,0.2,0.0,0.921,0.0,0.0,0.33,0.0,4.3,65.3,0.96,0.015,0.005,0.019,0.746,0.155,0.211,1.09,0.601,0.026,0.0,0.018,0.086,0.004,0.0,0.01,0.007,0.0,0.0,0.0
7961,"Chicken breast, deli, rotisserie seasoned, sliced, prepackaged",0.0,0,11,2.92,0,0,51,44.2,0.02,0,98,0.74,0.452,0.564,0.0,7,7,7,0,0.39,0,0,26,9.055,257,360,17.4,2,0.071,13.2,1032,0.75,0,0.048,1.86,2,0.14,0.0,0.445,0.0,0.1,0.32,0.0,0.0,74.47,0.51,0.024,0.0,0.01,0.397,0.088,0.124,0.628,0.355,0.016,0.0,0.016,0.047,0.001,0.0,0.004,0.003,0.002,0.0,0.002
22974,"Chicken, nuggets, dark and white meat, precooked, frozen, not reheated",0.0,0,47,16.09,0,48,32,45.5,0.1,25,268,5.524,6.81,3.598,1.6,35,35,35,0,0.95,85,0,25,3.275,165,206,12.02,11,0.147,17.0,540,0.72,0,0.087,17.31,16,0.23,0.0,0.221,0.4,0.3,1.92,0.0,10.0,52.36,0.78,0.001,0.005,0.05,2.734,0.435,0.701,4.962,6.24,0.474,0.003,0.096,0.043,0.004,0.006,0.004,0.003,0.0,0.0,0.004
22978,"Chicken tenders, breaded, frozen, prepared",0.0,0,39,14.86,0,9,36,46.2,0.085,7,240,4.081,6.235,2.437,1.7,33,20,28,7,0.84,44,0,29,5.917,200,281,14.62,5,0.064,19.3,527,0.57,0,0.132,13.58,7,0.18,0.0,0.338,0.5,0.1,2.22,0.0,17.7,54.83,0.61,0.006,0.005,0.026,1.829,0.177,0.463,3.815,5.811,0.356,0.001,0.069,0.03,0.0,0.003,0.003,0.003,0.0,0.0,0.004
43128,"Chicken, meatless",0.0,0,35,3.64,0,0,0,71.6,0.689,0,224,2.355,5.022,1.534,3.6,76,76,76,0,3.27,0,0,17,1.454,335,54,23.64,0,0.247,7.4,709,0.0,0,0.062,12.73,0,2.18,2.18,0.7,0.0,0.0,2.68,0.0,0.0,58.84,0.7,0.0,0.094,0.047,0.995,0.0,0.397,2.355,4.462,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43410,"Chicken, meatless, breaded, fried",0.0,0,42,8.51,0,0,0,46.3,0.5,0,234,3.226,4.581,1.13,4.3,56,56,56,0,3.83,0,0,12,12.766,245,300,21.28,0,0.362,7.4,400,0.0,0,1.277,12.77,0,5.11,5.11,0.851,0.0,0.0,1.95,0.0,0.0,56.44,0.65,0.0,0.0,0.008,0.823,1.409,0.299,1.8,4.044,0.536,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
